terminal_spot,pnl,base_value
92.4993492255164,-4.416079507722458,-71.04718852668458
95.90979833406553,-28.891933972390277,-71.04718852668458
98.45403009374208,-48.3782125295823,-71.04718852668458
117.6438224089517,-223.10810562713647,-71.04718852668458
108.1674603588536,-131.33444975199802,-71.04718852668458
99.91807789029234,-60.041535138523074,-71.04718852668458
97.72916646934627,-42.72362846892996,-71.04718852668458
107.84785981814886,-128.40980395159292,-71.04718852668458
103.62156804003575,-90.92718553480768,-71.04718852668458
108.01095834590906,-129.9007880873175,-71.04718852668458
112.85867522399009,-175.60237287767512,-71.04718852668458
91.10083287077731,5.048254197970465,-71.04718852668458
81.48280794836168,60.362099125962594,-71.04718852668458
99.52296113039486,-56.862332528068166,-71.04718852668458
100.4304946514186,-64.19871583219722,-71.04718852668458
102.31438483466081,-79.80668945312729,-71.04718852668458
94.50596534514895,-18.582536950229425,-71.04718852668458
97.65982083269655,-42.1869097507594,-71.04718852668458
104.8393482158678,-101.49339444575264,-71.04718852668458
105.34638861293595,-105.94993287066151,-71.04718852668458
112.35400037852732,-170.72481804706368,-71.04718852668458
82.11764138495097,57.26164026740319,-71.04718852668458
86.01773714328041,36.47398248028106,-71.04718852668458
113.68078066627612,-183.60419472421577,-71.04718852668458
105.30522383253982,-105.5868879833609,-71.04718852668458
107.06841362980306,-121.32862790255342,-71.04718852668458
97.20378299437449,-38.675901985486945,-71.04718852668458
95.56804417359592,-26.3525922114317,-71.04718852668458
101.51977842002138,-73.16205448841833,-71.04718852668458
91.6611143432252,1.2976569382744856,-71.04718852668458
86.93631404616585,31.150409741278636,-71.04718852668458
90.26853367122276,10.517096490163198,-71.04718852668458
100.7647369030712,-66.93096468129721,-71.04718852668458
105.57926517253176,-108.00782456638399,-71.04718852668458
115.6265078186362,-202.81211152132198,-71.04718852668458
103.09734838983262,-86.43958396088601,-71.04718852668458
104.03217678065022,-94.46797303270245,-71.04718852668458
116.00941830925235,-206.6353816326906,-71.04718852668458
93.01137023176946,-7.965949611441744,-71.04718852668458
91.50099697395315,2.3751386314054628,-71.04718852668458
95.02323656728338,-22.34372574266112,-71.04718852668458
98.86122247310998,-51.58983503245436,-71.04718852668458
119.54704799854558,-242.5915355108305,-71.04718852668458
96.64766024297953,-34.43843637604216,-71.04718852668458
112.11389283521376,-168.41362601001953,-71.04718852668458
95.58084900901756,-26.447395454658718,-71.04718852668458
104.20857356858993,-95.99597058280648,-71.04718852668458
105.99771279227484,-111.7229007480388,-71.04718852668458
104.59730790647093,-99.37777106799041,-71.04718852668458
106.66234916366233,-117.6689182046787,-71.04718852668458
93.74476575356896,-13.128506860026405,-71.04718852668458
113.62175345955228,-183.0273643147395,-71.04718852668458
108.88377880257943,-137.93329656711728,-71.04718852668458
93.6369334529609,-12.363737997780973,-71.04718852668458
104.34268178771377,-97.16040302891673,-71.04718852668458
90.57175142852059,8.53902574467834,-71.04718852668458
100.56958491408847,-65.33373970722081,-71.04718852668458
89.78016832166736,13.668274040913019,-71.04718852668458
106.35033851356819,-114.87072270645217,-71.04718852668458
130.07034002368258,-355.38334148979794,-71.04718852668458
113.7715010087557,-184.49142656403902,-71.04718852668458
106.46874207680086,-115.93117377448263,-71.04718852668458
91.96494439212324,-0.7592472345153425,-71.04718852668458
103.17534806752464,-87.10495039763325,-71.04718852668458
110.88891729146495,-156.71846841884573,-71.04718852668458
98.93073515621526,-52.14060210067859,-71.04718852668458
100.87999197266564,-67.87685035130744,-71.04718852668458
85.66619511160832,38.46878501360829,-71.04718852668458
92.35696073926039,-3.436908304453908,-71.04718852668458
84.49163255349761,44.96126854053731,-71.04718852668458
118.3871189151182,-230.67963041593958,-71.04718852668458
104.03325037919393,-94.47726037429885,-71.04718852668458
106.4106492861502,-115.41066250190192,-71.04718852668458
97.92211950806544,-44.22095039433742,-71.04718852668458
87.47960107719149,27.926730234678907,-71.04718852668458
