scenario,option_type,strike,time_to_maturity,volatility,quantity,spot,risk_free_rate,price,market_value,delta_exposure,gamma_exposure,vega_exposure,theta_exposure,rho_exposure
flash_crash,call,110.0,1.5,0.6,-6.0,65.0,0.03,9.024344022248748,-54.14606413349249,-2.3217367152714226,-0.04808751030085835,-182.85275791901387,39.473556254577275,-145.15023353872496
volatility_explosion,put,90.0,0.5,0.48,-8.0,100.0,0.03,7.824048504467481,-62.592388035739845,2.4002206230249996,-0.08195534352354313,-196.69282445650353,85.33412222897448,151.30722516911993
volatility_explosion,call,95.0,0.5,0.44,5.0,100.0,0.03,15.441298442669613,77.20649221334807,3.2190064728892986,0.059900901171466577,131.78198257722647,-65.3248969862471,122.3470775377909
volatility_explosion,call,100.0,1.0,0.4,-12.0,100.0,0.03,17.138735220515535,-205.66482264618642,-7.300102570156739,-0.11524167459171145,-460.9666983668458,107.92370270445377,-524.3454343694874
volatility_explosion,put,105.0,1.0,0.46,7.0,100.0,0.03,19.326782984709546,135.2874808929668,-2.9749084061170312,0.05963223558653459,274.3082836980591,-50.107555605413495,-432.7783215046699
volatility_explosion,call,110.0,1.5,0.5,-6.0,100.0,0.03,22.175039171176138,-133.05023502705683,-3.53179820982641,-0.03811949863826378,-285.8962397869783,54.25326087649725,-330.1943789333763
vol_crush,put,90.0,0.5,0.144,-8.0,100.0,0.03,0.5575084528968528,-4.460067623174822,0.8703573971579939,-0.1465701371890854,-105.53049877614148,12.451517603595146,45.74790366948711
vol_crush,call,95.0,0.5,0.132,5.0,100.0,0.03,7.68146638363956,38.4073319181978,3.8772526854177567,0.16047672356993847,105.9146375561594,-24.460270256120378,174.65896831178895
vol_crush,call,100.0,1.0,0.12,-12.0,100.0,0.03,6.33781144361123,-76.05373732333476,-7.460634261864231,-0.38022635475132494,-456.27162570159,47.476588207988044,-670.0096888630884
vol_crush,put,105.0,1.0,0.138,7.0,100.0,0.03,6.5529145463790215,45.87040182465315,-3.6874115494363853,0.20190615876838613,278.6304991003729,-6.78715773487698,-414.6115567682916
vol_crush,call,110.0,1.5,0.15,-6.0,100.0,0.03,5.206608779091887,-31.239652674551323,-2.566752729531695,-0.12815389055369525,-288.34625374581424,21.18038129564926,-338.1534304179272
rate_jump,put,90.0,0.5,0.24,-8.0,100.0,0.05,2.0166447722389975,-16.13315817791198,1.5746161019927998,-0.13070794772699101,-156.84953727238926,28.964150526513812,86.79738418859598
rate_jump,call,95.0,0.5,0.22,5.0,100.0,0.05,10.347224025494924,51.73612012747462,3.5752751842242088,0.10910955157839047,120.02050673622954,-41.694081396717806,152.89569914747312
rate_jump,call,100.0,1.0,0.2,-12.0,100.0,0.05,10.450583572185565,-125.40700286622678,-7.64196781410743,-0.22514420815016273,-450.2884163003255,76.96833055725835,-638.7897785445161
rate_jump,put,105.0,1.0,0.23,7.0,100.0,0.05,9.08962364089134,63.62736548623938,-3.16496973121375,0.12054238410154677,277.2474834335576,-12.877243664478403,-380.1243386076144
rate_jump,call,110.0,1.5,0.25,-6.0,100.0,0.05,11.293270542609868,-67.7596232556592,-3.2074139602956704,-0.07788272408197754,-292.0602153074157,36.98743991431337,-379.4726591608618
term_structure_inversion,put,90.0,0.45,0.36,-8.0,100.0,0.019999999999999997,4.682997006056997,-37.463976048455976,2.2092477514392916,-0.11076350692963269,-179.4368812260049,66.60697746655427,116.27493803657333
term_structure_inversion,call,95.0,0.45,0.33999999999999997,5.0,100.0,0.019999999999999997,12.04404821739412,60.2202410869706,3.2371518855224943,0.0814148464405606,124.56471505405771,-52.3276801919496,118.57272635937548
term_structure_inversion,call,100.0,0.95,0.32,-12.0,100.0,0.019999999999999997,13.239653934297692,-158.8758472115723,-7.030124163864889,-0.14992252658098248,-455.76448080618684,87.64306499296137,-516.9297407161707
term_structure_inversion,put,105.0,0.95,0.35,7.0,100.0,0.019999999999999997,15.312288582879127,107.1860200801539,-3.2678041136162483,0.08157809494084205,271.2471656782998,-41.287254522430175,-412.2681098696898
term_structure_inversion,call,110.0,1.45,0.37,-6.0,100.0,0.019999999999999997,15.003052757889016,-90.0183165473341,-3.1768211520425753,-0.05357824456248018,-287.4472820777062,41.22758437615615,-330.11250805253894
